"Id","State","Suppressed","Clone Type","Left Path","Left Line","Left End Line","Left Length","Left Weight","Right Path","Right Line","Right End Line","Right Length","Right Weight","Justification"
"A00048_CRYPTO_A00048-381:CL1","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/public_key_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL2","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/restricted_used_object_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL3","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL4","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL5","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL6","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL7","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL8","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL9","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL10","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/private_key_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
