"Id","State","Suppressed","Entity","Linkname","Entity Type","Path","Line","Justification"
"A00048_CRYPTO_A00048-381:DE1","added","false","ASN1_GetTimeT","R ara:crypto:x509:X509ProviderImpl:ASN1_GetTimeT(asn1_string_st-c*)","Method","avin-ap/crypto/source/certificate-provider/src/x509_provider_impl.cpp","1574",""
"A00048_CRYPTO_A00048-381:DE2","added","false","AddEntropy","R ara:crypto:cryp:RandomGeneratorCtxDefaultSSLCtrDrbg:AddEntropy(ara:core:Span<uc-c,4294967295>)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/random_generator_ctx_ssl_ctr_drbg.cpp","137",""
"A00048_CRYPTO_A00048-381:DE3","added","false","AddEntropy","R ara:crypto:cryp:RandomGeneratorSkeletonImpl:AddEntropy(std:vector<uc,std:allocator<uc>>-c&)","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/src/vsomeip/crypto-provider/random_generator_skeleton_impl.cpp","61",""
"A00048_CRYPTO_A00048-381:DE4","added","false","AddKeyingData","R ara:crypto:cryp:KeyEncapsulatorPublicCtxDefaultSsl:AddKeyingData(!0+15!RestrictedUseObject&)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/key_encapsulator_public_ctx_default_ssl.cpp","43",""
"A00048_CRYPTO_A00048-381:DE5","added","false","AddSalt","R ara:crypto:cryp:KeyDerivationFunctionCtxSSLPBKDF:AddSalt(ara:core:Span<uc-c,4294967295>)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/key_derivation_function_ctx_ssl_default.cpp","116",""
"A00048_CRYPTO_A00048-381:DE6","added","false","AddSaltReadOnlyMem","R ara:crypto:cryp:KeyDerivationFunctionskeletonImpl:AddSaltReadOnlyMem(std:vector<uc,std:allocator<uc>>-c&)","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/src/vsomeip/crypto-provider/key_derivation_function_skeleton_impl.cpp","61",""
"A00048_CRYPTO_A00048-381:DE7","added","false","AddSecretSalt","R ara:crypto:cryp:KeyDerivationFunctionCtxSSLPBKDF:AddSecretSalt(!0+15!SecretSeed-c&)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/key_derivation_function_ctx_ssl_default.cpp","143",""
"A00048_CRYPTO_A00048-381:DE8","added","false","AddSecretSalt","R ara:crypto:cryp:KeyDerivationFunctionskeletonImpl:AddSecretSalt(ara:core:internal:basic_string<c,std:char_traits<c>,std:allocator<c>>-c&)","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/src/vsomeip/crypto-provider/key_derivation_function_skeleton_impl.cpp","80",""
"A00048_CRYPTO_A00048-381:DE9","added","false","AgreeKey","R ara:crypto:cryp:KeyAgreementPrivateCtxDefaultssl:AgreeKey(!0+15!PublicKey-c&,!60+6!KeyDerivationFunctionCtx&,ull,ui,ara:core:Span<uc-c,4294967295>,!116+30!)-c","Method","avin-ap/crypto/source/crypto-provider/openssl/src/key_agreement_private_ctx_default_ssl.cpp","129",""
"A00048_CRYPTO_A00048-381:DE10","added","false","AgreeSeed","R ara:crypto:cryp:KeyAgreementPrivateCtxDefaultssl:AgreeSeed(!0+15!PublicKey-c&,ui)-c","Method","avin-ap/crypto/source/crypto-provider/openssl/src/key_agreement_private_ctx_default_ssl.cpp","65",""
"A00048_CRYPTO_A00048-381:DE11","added","false","AllocVolatileContainer","R ara:crypto:cryp:CryptoProviderSSL:AllocVolatileContainer(std:pair<ull,!0+10!CryptoObjectType>)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","791",""
"A00048_CRYPTO_A00048-381:DE12","added","false","AllocVolatileContainer","R ara:crypto:cryp:CryptoProviderSSL:AllocVolatileContainer(ui)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","774",""
"A00048_CRYPTO_A00048-381:DE13","added","false","AuthCipherContextSkeleton","R ara:crypto:ipccom:cryp:authenticationcipher:skeleton:AuthCipherContextSkeleton:!55+25!(ara:com:InstanceIdentifier,!105+7!MethodCallProcessingMode)","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/gen/includes/ara/crypto/ipccom/cryp/authenticationcipher/authciphercontext_skeleton.h","43",""
