"Id","State","Suppressed","Error Number","Metric","Description","Entity","Linkname","Entity Type","Path","Line","Value","Min","Max","Severity","Justification"
"A00048_CRYPTO_A00048-381:MV1","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","StopCryptoProviderService","R ara:crypto:cryp:CryptoProviderSkeletonImpl:StopCryptoProviderService(!18+15!erviceType-c&,ara:core:internal:basic_string<c,std:char_traits<c>,std:allocator<c>>-c&)","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/src/vsomeip/crypto-provider/crypto_provider_skeleton_impl.cpp","864","19.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV2","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","Message","R ara:crypto:ipccom:common:error:CryptoErrorDomainErrorDomain:Message(i)-c","Method","avin-ap/crypto/source/ara-crypto/core/ipc-core/src/vsomeip/gen/common/error_domain_cryptoerrordomain.cpp","34","32.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV3","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","Message","R ara:crypto:SecurityErrorDomain:Message(i)-c","Method","avin-ap/crypto/source/autosar-crypto-files/ara/crypto/common/security_error_domain.h","164","33.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV4","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","ImportCrl","R ara:crypto:x509:X509ProviderImpl:ImportCrl(ara:core:Span<uc-c,4294967295>)","Method","avin-ap/crypto/source/certificate-provider/src/x509_provider_impl.cpp","697","23.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV5","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","Get","R apd:manifestreader:Helper<ara:crypto:config:CryptoKeyslots>:Get(rapidjson:GenericValue<!64+9!UTF8<c>,!89+6!MemoryPoolAllocator<!89+6!CrtAllocator>>-c&)","Method","avin-ap/crypto/source/config/inc/public/CryptoKeySlot_MR.h","17","18.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV6","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","IsValidIvSize","R ara:crypto:cryp:BlockServiceImpl:IsValidIvSize(ui)-c","Method","avin-ap/crypto/source/crypto-provider/openssl/src/block_service_impl.cpp","91","24.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV7","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","GenerateSymmetricKey","R ara:crypto:cryp:CryptoProviderSSL:GenerateSymmetricKey(ull,ui,b,b)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","35","39.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV8","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","GenerateSeed","R ara:crypto:cryp:CryptoProviderSSL:GenerateSeed(ull,ui,b,b)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","130","45.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV9","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","GeneratePrivateKey","R ara:crypto:cryp:CryptoProviderSSL:GeneratePrivateKey(ull,ui,b,b)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","229","20.0","","16.0","error",""
"A00048_CRYPTO_A00048-381:MV10","added","false","Metric-ExtendedMcCabe","Metric.Extended_McCabe","Extended Cyclomatic Complexity","AllocVolatileContainer","R ara:crypto:cryp:CryptoProviderSSL:AllocVolatileContainer(std:pair<ull,!0+10!CryptoObjectType>)","Method","avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","791","66.0","","16.0","error",""
