"Id","State","Suppressed","Error Number","Message","Entity","Path","Line","Provider","Severity","Justification"
"A00048_CRYPTO_A00048-381:SV9586","added","false","Generic-NoGlobalVariables","Do not use non-const global variables.","volatileInterface","avin-ap/crypto/source/utils/src/volatile_trusted_container_impl.cpp","26","axivion","error",""
"A00048_CRYPTO_A00048-381:SV9585","added","false","AutosarC++19_03-A12.1.2","Both NSDMI and a non-static member initializer in a constructor shall not be used in the same type.","VolatileTrustedContainerImpl()","avin-ap/crypto/source/utils/src/volatile_trusted_container_impl.cpp","19","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9584","added","false","AutosarC++19_03-A12.1.1","Base class is not explicitly initialized in constructor.","VolatileTrustedContainer","avin-ap/crypto/source/utils/src/volatile_trusted_container_impl.cpp","19","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9582","added","false","AutosarC++19_03-A5.2.6","Operand of && or || must be parenthesized.","&&","avin-ap/crypto/source/utils/src/io_interface_volatile.cpp","87","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9583","added","false","AutosarC++19_03-A5.2.6","Operand of && or || must be parenthesized.","&&","avin-ap/crypto/source/utils/src/io_interface_volatile.cpp","103","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9574","added","false","AutosarC++19_03-A10.3.1","Use only one of (1) virtual, (2) override, (3) final.","~VolatileTrustedContainerImpl()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","35","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9575","added","false","AutosarC++19_03-A10.3.1","Use only one of (1) virtual, (2) override, (3) final.","GetIOInterface()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","40","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9580","added","false","AutosarC++19_03-M3.4.1","Type can be declared locally in primary file.","VolatileTrustedContainerImpl, avin-ap/crypto/source/crypto-provider/openssl/src/crypto_provider_ssl.cpp","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","27","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9576","added","false","AutosarC++19_03-A10.3.2","Override of functions is only permitted with keyword override/final.","~VolatileTrustedContainerImpl()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","35","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9577","added","false","AutosarC++19_03-A10.3.2","Override of functions is only permitted with keyword override/final.","GetIOInterface()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","40","axivion","required",""
